Complexity,Loss,Equation
1,69.248924,"x2"
2,0.0085626,"abs(0.030938553)"
3,0.008444842,"x2 * 0.004767695"
4,0.0076151877,"abs(x0 * -8.668482e-6)"
5,0.007614823,"(1.5428568 - x0) * -8.668482e-6"
6,0.00711151,"abs(x0 * (-8.668482e-6 + x1))"
8,0.006821309,"abs(x0 * (x1 + (x1 + -8.668482e-6)))"
9,0.006058026,"abs(square((x0 * (-8.668482e-6 + x1)) / -0.17807283))"
10,0.0035178855,"square(sin(square((x0 * (x1 + -5.9733234e-6)) / 0.06664112)))"
11,0.0027040353,"sin(square(sin(square(((-4.18596e-6 + x1) * x0) / 0.04377824))))"
12,0.0025554665,"abs(square(square((x0 * ((x1 / 0.58598423) + -5.9733234e-6)) / 0.06664112)))"
15,0.0023527113,"sin(square(square(abs((((x1 * 1.1292703) / 0.398162) + -8.668482e-6) * x0) / 0.09100692)))"
16,0.002332228,"sin(sin(square(square(((x0 * ((x1 * sqrt(x2)) + -8.668482e-6)) / 0.16804358) / 0.5215997))))"
17,0.0023150602,"sin(sin(sin(square(square(((x0 * ((x1 * sqrt(x2)) + -8.668482e-6)) / 0.16804358) / 0.5215997)))))"
