Complexity,Loss,Equation
1,9.57905e-7,"1.9321378e-5"
3,9.549493e-7,"x1 * 0.00012398852"
4,9.539931e-7,"-9.051029e-5 * cos(x0)"
5,9.538098e-7,"-0.000105206855 * sin(cos(x0))"
6,9.508105e-7,"0.00014737871 * sin(0.08334187 / x1)"
7,9.5053684e-7,"-0.000105206855 * (sin(cos(x0)) - x1)"
8,9.479588e-7,"(cos(x0 * -1.115166) - x1) * -0.00012226655"
9,9.4783223e-7,"-0.00012226655 * (cos(x0) - sin(0.08334187 / x1))"
10,9.453644e-7,"(cos((x0 * -1.5428482) * x0) - x1) * -0.00012226655"
11,9.440214e-7,"-0.0001383793 * cos(-0.6886058 - (x0 - cos(x1 / x3)))"
12,9.4399803e-7,"-0.0001383793 * cos(sin(0.80099124) + (x0 - cos(x1 / x3)))"
13,9.423778e-7,"-0.0001383793 * (cos(0.6703586 + x0) - sin((0.08334187 * x2) / x1))"
16,9.365588e-7,"-0.0001383793 * (cos(0.80099124 + (x0 - cos(x1 / x3))) - sin(0.08334187 / x1))"
