Complexity,Loss,Equation
2,1.7077625,"log(657.5803)"
3,1.7009093,"7.0385623 - x1"
4,1.684811,"6.9899883 - sin(x1)"
5,1.678535,"6.9558372 - sin(sin(x1))"
6,1.6464794,"7.308617 - sin(x1 + x0)"
8,1.5726143,"exp(cos(sin(0.9981777 / x1))) - -4.489455"
9,1.5553157,"7.152333 - cos(cos(0.9981777 / x1) * -1.744717)"
10,1.5515697,"7.152333 - cos(1.9032578 * sin(cos(0.99123514 / x1)))"
11,1.528629,"exp(cos(sin(cos(0.29586366 - x0) / x1))) - -4.489455"
12,1.4982535,"exp(cos(sin(cos(sin(x0) - x1) / x1))) - -4.489455"
13,1.4921793,"exp(cos(sin(cos(sin(sin(x0)) - x1) / x1))) - -4.489455"
14,1.4688373,"exp(cos(sin(cos(x0) / cos(sin(sin(-8.87245)) / x1)))) - -4.4350805"
15,1.4080768,"exp(cos(sin(sin(exp(x0)) / cos(sin(sin(-8.870051)) / x1)))) - -4.434794"
17,1.405135,"exp(cos(0.14268537 + sin(sin(exp(x0)) / cos(sin(sin(-8.86989)) / x1)))) - -4.487159"
18,1.4050298,"exp(cos(sin(0.14268537) + sin(sin(exp(x0)) / cos(sin(sin(-8.86989)) / x1)))) - -4.487159"
19,1.3942989,"exp(cos(0.14268537 + sin(sin(exp(x0)) / cos(sin(sin(-8.86989)) / x1))) * 1.0396034) - -4.487159"
20,1.3942175,"exp(cos(sin(0.14268537) + sin(sin(exp(x0)) / cos(sin(sin(-8.86989)) / x1))) * 1.0396034) - -4.487159"
