lambda_res,gamma,higher_dim_factor,lyapunov_exp,A_final,B_final
1.0,0.1,1.5,36.03640432739966,1.2006825499772484,0.9561607356364968
1.0,0.2,1.5,36.49939770684135,1.0405231128687282,0.7354125171535131
1.0,0.1,0.5,37.16130117270134,0.8452085206160292,0.5902720987706066
1.0,0.2,1.0,35.29877076180174,1.0367981636848123,0.7249731119458188
1.0,0.1,1.0,35.95385506075808,0.6582927836769796,0.40371757491916216
1.0,0.2,0.5,36.137818024934084,0.7710498565706149,0.4571730814426234
1.0,0.30000000000000004,1.0,36.19655041358123,0.972593556881455,0.6123433779988207
1.0,0.30000000000000004,0.5,37.621847636968795,0.8119507990089625,0.44181475385738117
1.0,0.30000000000000004,1.5,36.08435063807642,0.8127647431505388,0.4373199854896512
1.0,0.4,0.5,37.56107946471591,1.0067462668491105,0.5820195445003189
1.0,0.4,1.5,35.46578073259875,0.9709612346048622,0.5426878195261041
1.0,0.4,1.0,39.226927699267456,0.8987508616728005,0.47759552430411767
2.0,0.1,1.0,34.981210584712954,0.9718232574214111,0.7037818826783186
2.0,0.2,0.5,36.404145558232756,0.9382484056533156,0.5830236140042506
2.0,0.2,1.0,37.49572936407546,1.0486291095660643,0.696345674246719
1.0,0.5,0.5,37.65978077469358,0.7831855765993624,0.3007953855508695
2.0,0.1,1.5,37.00769008307705,1.035475973100471,0.76672212045363
2.0,0.2,1.5,37.53094935032364,0.8252290489033204,0.46437998444468104
2.0,0.30000000000000004,0.5,38.35526653633377,0.9635649137175618,0.5381682418940279
2.0,0.30000000000000004,1.0,37.79960920073603,0.8912946962647539,0.4645855841100813
2.0,0.30000000000000004,1.5,36.36130050467103,0.9481496949365253,0.5259701351572348
1.0,0.5,1.0,38.1441296353761,0.7937319197488817,0.31440248747878924
1.0,0.5,1.5,35.07508927885523,1.0869760606831875,0.6214955009173722
2.0,0.1,0.5,38.09362442097917,0.8029669950172148,0.5333571788026149
2.0,0.4,0.5,37.08259855862345,0.8483037126200087,0.34802620591365757
2.0,0.4,1.0,38.5393562098809,1.4523769764197492,0.9784715428417184
2.0,0.4,1.5,36.86216550281683,1.0938940848646581,0.5934814262606336
2.0,0.5,0.5,36.78843304558407,1.014979397683026,0.46114910144554205
3.0,0.1,1.5,36.7988247924633,0.9484706315313085,0.6605556377581192
3.0,0.1,0.5,38.42451053214757,0.9143062577620134,0.6226701162494086
3.0,0.2,1.5,35.80076277201558,1.3394004821738985,0.9584431559333805
3.0,0.2,1.0,38.17386866412124,0.7968187223716918,0.3982592206426098
2.0,0.5,1.5,37.62765646152367,1.0299322085314055,0.4762114347527999
3.0,0.30000000000000004,0.5,35.1059098457425,1.1878859000741404,0.70517388054885
3.0,0.2,0.5,35.616043746954695,0.8783473858986325,0.47563761293868034
3.0,0.1,1.0,34.3046170150964,0.9178529433078924,0.6257202534404552
2.0,0.5,1.0,36.98023027537556,0.6668659619028627,0.08840208339298446
3.0,0.4,1.5,37.36658970547186,0.911843974883228,0.323680880648493
3.0,0.4,1.0,36.606194431519015,0.972612958866152,0.39770613933284615
3.0,0.5,0.5,36.54500876806192,1.1287117737798393,0.5020188720267237
