Complexity,Loss,Equation
1,9.558186e-5,"0.00012866542"
3,9.506331e-5,"0.05306747 ^ x0"
4,9.4922376e-5,"-1.4246791e-5 / cos(x2)"
5,9.484079e-5,"-1.4246791e-5 / (-2.7223604 + x1)"
6,9.4644514e-5,"-1.4246791e-5 / cos(x0 - -1.4835426)"
7,9.4431576e-5,"1.9094236e-5 / (-0.31400964 + (x0 ^ -0.69791925))"
9,9.442295e-5,"(1.9094236e-5 / (-0.31400964 + (x0 ^ -0.69791925))) * 1.1352428"
10,9.4302835e-5,"(-8.768901e-5 / cos(-0.53416795 * x0)) / (x1 / x0)"
11,9.415229e-5,"sin((-8.768901e-5 / cos(0.2257593 * x0)) / (x1 / x0))"
12,9.415228e-5,"sin(sin(-8.768901e-5 / cos(0.2257593 * x0)) / (x1 / x0))"
13,9.409825e-5,"sin((-8.768901e-5 / cos(0.2257593 * x0)) / ((x1 / x0) ^ 1.0339903))"
15,9.3885224e-5,"(-8.768901e-5 / cos(x0 * -0.53416795)) / ((x1 + (-0.74986815 / sin(x2))) / x0)"
16,9.386545e-5,"(-8.768901e-5 / cos(x0 * -0.53416795)) / ((x1 + (-0.74986815 / sin(sin(x2)))) / x0)"
17,9.289334e-5,"(-8.768901e-5 / cos(x0 * -0.53416795)) / (((-1.0461798 / sin(log(sqrt(x2)))) + x1) / x0)"
18,9.2819915e-5,"(-8.768901e-5 / sin(cos(x0 * -0.53416795))) / (((-1.0461798 / sin(log(sqrt(x2)))) + x1) / x0)"
19,9.2801005e-5,"(-8.768901e-5 / cos(x0 * -0.53416795)) / (((-1.0461798 / sin(log(sqrt(x2 - 0.82398975)))) + x1) / x0)"
20,9.2774084e-5,"(-8.768901e-5 / sin(cos(x0 * -0.53416795))) / (((-1.0461798 / sin(log(sqrt(x2 - 0.82398975)))) + x1) / x0)"
