Complexity,Loss,Equation
1,9.558186e-5,"0.00012738029"
2,9.5581854e-5,"abs(-0.0001286283)"
3,9.506332e-5,"0.053002033 ^ x0"
4,9.492237e-5,"-1.4277523e-5 / cos(x2)"
5,9.492138e-5,"-1.4277523e-5 / sin(cos(x2))"
6,9.473893e-5,"-1.4277523e-5 / cos(x2 + -0.27052268)"
7,9.4738316e-5,"-1.4277523e-5 / sin(cos(x2 + -0.27052268))"
9,9.452105e-5,"(sin(-1.3339052 * x0) * -1.4277523e-5) * sqrt(x2)"
12,9.409885e-5,"((sin(-1.3339052 * x0) * -1.4277523e-5) / square(log(1.1142416))) * 1.1142416"
14,9.399858e-5,"0.83128005 * ((sin(-1.3339052 * x0) * -1.4277523e-5) / square(log(abs(log(0.33735767)))))"
15,9.399325e-5,"((sin(-1.3339052 * x0) * -1.4277523e-5) / square(log(abs(log(0.33735767))))) * cos(0.51562613)"
16,9.395271e-5,"((sin(sin(-1.3339052 * x0)) * -1.4277523e-5) / square(log(abs(log(0.33735767))))) * cos(x4)"
17,9.392538e-5,"((sin(-1.3339052 * x0) * -1.4277523e-5) / square(log(abs(log(0.33735767))))) * cos(square(sin(x2)))"
18,9.3899595e-5,"1.3868951 * ((sin(sin(sin(sin(sin(-1.3339052 * x0))))) * -1.4277523e-5) / square(log(abs(log(0.33735767)))))"
19,9.387817e-5,"1.3868951 * ((sin(sin(sin(sin(sin(sin(-1.3339052 * x0)))))) * -1.4277523e-5) / square(log(abs(log(0.33735767)))))"
20,9.386945e-5,"1.3868951 * ((sin(sin(sin(sin(sin(sin(sin(-1.3339052 * x0))))))) * -1.4277523e-5) / square(log(abs(log(0.33735767)))))"
